q,param,param_name,rho_eff,theory_pfail,error_rate
61,9,k,0.9637336692917422,0.29944184644407446,0.365
61,10,k,1.0708151881019359,0.3503720056895584,0.355
61,11,k,1.1778967069121296,0.39589749788109496,0.425
61,12,k,1.2849782257223228,0.43643738090642825,0.375
61,13,k,1.3920597445325165,0.47253536049574507,0.455
61,14,k,1.4991412633427101,0.504741124955032,0.485
61,15,k,1.6062227821529036,0.5335614493928716,0.445
61,16,k,1.7133043009630973,0.5594440519874377,0.525
61,17,k,1.820385819773291,0.582776192062933,0.48
61,18,k,1.9274673385834844,0.6038893830033134,0.52
61,19,k,2.034548857393678,0.6230661664743882,0.515
61,20,k,2.1416303762038718,0.6405471115860013,0.54
67,1,k,0.09749212906599714,1.0980212586566618e-24,0.0
67,2,k,0.19498425813199427,2.9187514326484534e-07,0.0
67,3,k,0.2924763871979914,0.0006283338118076155,0.0
67,4,k,0.38996851626398854,0.010338129039272144,0.015
67,5,k,0.48746064532998573,0.04022337180846005,0.07
67,6,k,0.5849527743959828,0.08735102141098038,0.125
67,7,k,0.68244490346198,0.142833698705283,0.125
67,8,k,0.7799370325279771,0.19978835302927211,0.23
67,9,k,0.8774291615939743,0.25441416438885045,0.32
67,10,k,0.9749212906599715,0.3050217785921838,0.355
67,11,k,1.0724134197259687,0.35109047627785084,0.365
67,12,k,1.1699055487919656,0.3926785679566789,0.36
67,13,k,1.2673976778579628,0.4301012929413973,0.36
67,14,k,1.36488980692396,0.46376590046765687,0.48
67,15,k,1.462381935989957,0.49409143356382357,0.445
67,16,k,1.5598740650559542,0.5214724009353149,0.46
67,17,k,1.6573661941219513,0.5462645977987731,0.515
67,18,k,1.7548583231879487,0.5687817649011857,0.46
67,19,k,1.8523504522539458,0.5892972768490153,0.46
67,20,k,1.949842581319943,0.6080479159610312,0.51
67,21,k,2.04733471038594,0.6252382723970816,0.495
71,1,k,0.09199961475241983,1.608858026811542e-27,0.0
71,2,k,0.18399922950483966,5.485627712765424e-08,0.0
71,3,k,0.27599884425725946,0.00029097662598144265,0.005
71,4,k,0.3679984590096793,0.006579650152762502,0.01
71,5,k,0.4599980737620992,0.029710982508339277,0.03
71,6,k,0.5519976885145189,0.07004774833514804,0.065
71,7,k,0.6439973032669388,0.12047055627635779,0.175
71,8,k,0.7359969180193586,0.17424124678038666,0.2
71,9,k,0.8279965327717785,0.22714939311794557,0.275
71,10,k,0.9199961475241984,0.2770540133885244,0.325
71,11,k,1.0119957622766182,0.323080939356715,0.305
71,12,k,1.1039953770290378,0.3650412475079964,0.395
71,13,k,1.1959949917814579,0.40308520276447735,0.365
71,14,k,1.2879946065338777,0.43751239211173265,0.45
71,15,k,1.3799942212862975,0.4686724737694531,0.41
71,16,k,1.4719938360387173,0.4969156976683964,0.46
71,17,k,1.5639934507911373,0.5225699898304258,0.5
71,18,k,1.655993065543557,0.5459318954306597,0.425
71,19,k,1.7479926802959769,0.5672645428375254,0.43
71,20,k,1.839992295048397,0.5867989881273311,0.505
71,21,k,1.9319919098008167,0.6047370250975013,0.51
71,22,k,2.0239915245532365,0.6212544734187609,0.485
