q,param,param_name,rho_eff,theory_pfail,error_rate
29,12,eta,0.9556142386586909,0.295354535203495,0.275
29,13,eta,0.9946348346107556,0.3147071169914464,0.31
29,14,eta,1.03218134807557,0.3326340069775676,0.315
29,15,eta,1.0684091989537703,0.34928813186840246,0.315
29,16,eta,1.103448275862069,0.36480354367698864,0.375
29,17,eta,1.1374084484462512,0.37929737608846603,0.325
29,18,eta,1.1703836378260095,0.39287193390004593,0.41
31,1,eta,0.25806451612903225,0.00010662469950219248,0.0
31,2,eta,0.3649583386769278,0.0061431936047867996,0.0
31,3,eta,0.44698085356616185,0.025271161776870603,0.01
31,4,eta,0.5161290322580645,0.05268425337828289,0.06
31,5,eta,0.577049800645107,0.0831040793190934,0.065
31,6,eta,0.6321263852343685,0.11365821697739432,0.11
31,7,eta,0.6827745318876363,0.14302671527199873,0.13
31,8,eta,0.7299166773538556,0.17068084940668493,0.19
31,9,eta,0.7741935483870968,0.19647260583938964,0.17
31,10,eta,0.8160716542370011,0.2204311022217622,0.26
31,11,eta,0.8559031717046193,0.24266300978907707,0.2
31,12,eta,0.8939617071323237,0.2633039320815611,0.295
31,13,eta,0.9304648452810295,0.2824948981994594,0.255
31,14,eta,0.9655890030384364,0.3003713778635263,0.265
31,15,eta,0.9994795732148173,0.3170585862340608,0.285
31,16,eta,1.032258064516129,0.3326699389842369,0.28
31,17,eta,1.0640272582239123,0.34730705237963244,0.29
31,18,eta,1.0948750160307832,0.3610604602553752,0.375
31,19,eta,1.124877146720174,0.37401062070374747,0.35
31,20,eta,1.154099601290214,0.3862289950793314,0.36
37,1,eta,0.21621621621621623,3.7459840111134117e-06,0.0
37,2,eta,0.3057759053779665,0.001074073290722385,0.0
37,3,eta,0.3744974719067843,0.00757959203158261,0.02
37,4,eta,0.43243243243243246,0.020750145316116,0.025
37,5,eta,0.48347415729725185,0.03860591307070303,0.04
37,6,eta,0.5296194038450114,0.05900603837050523,0.075
37,7,eta,0.572054337527479,0.08044919091412017,0.085
37,8,eta,0.611551810755933,0.10201039079298223,0.075
37,9,eta,0.6486486486486487,0.12315461607381883,0.125
37,10,eta,0.6837357103066767,0.14358961746974888,0.155
37,11,eta,0.7171080627795459,0.16316969662803293,0.165
37,12,eta,0.7489949438135686,0.1818362573291875,0.215
37,13,eta,0.779578654154376,0.19958170780664375,0.2
37,14,eta,0.809007002545717,0.21642762262836734,0.22
37,15,eta,0.8374018045853875,0.23241152842341795,0.285
