error_rate,error_count,trials,rho,rho_t,theory_fail,n,q,k,m,t
0.074,37,500,0.2926829268292683,0.2926829268292683,0.03641414726674857,8,41,3,16,1
0.156,78,500,0.3902439024390244,0.3902439024390244,0.11660032712103821,8,41,4,16,1
0.25,125,500,0.4878048780487805,0.4878048780487805,0.20934683562711087,8,41,5,16,1
0.316,158,500,0.5853658536585366,0.5853658536585366,0.29549813346422027,8,41,6,16,1
0.404,202,500,0.6829268292682927,0.6829268292682927,0.36988531389913026,8,41,7,16,1
0.448,224,500,0.7804878048780488,0.7804878048780488,0.43268684960491277,8,41,8,16,1
0.472,236,500,0.8780487804878049,0.8780487804878049,0.4855373843340224,8,41,9,16,1
0.492,246,500,0.975609756097561,0.975609756097561,0.5302124453004193,8,41,10,16,1
0.494,247,500,1.0731707317073171,1.0731707317073171,0.5682574144631798,8,41,11,16,1
0.494,247,500,1.170731707317073,1.170731707317073,0.600926848193214,8,41,12,16,1
0.522,261,500,1.2682926829268293,1.2682926829268293,0.6292149474857291,8,41,13,16,1
0.474,237,500,1.3658536585365855,1.3658536585365855,0.6539048747939791,8,41,14,16,1
0.482,241,500,1.4634146341463414,1.4634146341463414,0.6756148483412115,8,41,15,16,1
0.0,0,500,0.09302325581395349,0.09302325581395349,4.610377162219339e-11,8,43,1,16,1
0.004,2,500,0.18604651162790697,0.18604651162790697,0.000996539641532792,8,43,2,16,1
0.05,25,500,0.27906976744186046,0.27906976744186046,0.02821136655974199,8,43,3,16,1
0.16,80,500,0.37209302325581395,0.37209302325581395,0.09981505056476692,8,43,4,16,1
0.226,113,500,0.46511627906976744,0.46511627906976744,0.18797249173182984,8,43,5,16,1
0.298,149,500,0.5581395348837209,0.5581395348837209,0.27256827332622025,8,43,6,16,1
0.378,189,500,0.6511627906976745,0.6511627906976745,0.34699750259476425,8,43,7,16,1
0.416,208,500,0.7441860465116279,0.7441860465116279,0.410578818889892,8,43,8,16,1
0.464,232,500,0.8372093023255814,0.8372093023255814,0.4645074766883359,8,43,9,16,1
0.466,233,500,0.9302325581395349,0.9302325581395349,0.5103451413340374,8,43,10,16,1
0.488,244,500,1.0232558139534884,1.0232558139534884,0.5495364563317365,8,43,11,16,1
0.468,234,500,1.1162790697674418,1.1162790697674418,0.5832912154378347,8,43,12,16,1
0.508,254,500,1.2093023255813953,1.2093023255813953,0.6125864736780102,8,43,13,16,1
0.552,276,500,1.302325581395349,1.302325581395349,0.6382017407377282,8,43,14,16,1
0.504,252,500,1.3953488372093024,1.3953488372093024,0.6607579729525664,8,43,15,16,1
0.0,0,500,0.0851063829787234,0.0851063829787234,6.228881823883016e-13,8,47,1,16,1
0.006,3,500,0.1702127659574468,0.1702127659574468,0.0003210583463273974,8,47,2,16,1
0.04,20,500,0.2553191489361702,0.2553191489361702,0.016464232748736724,8,47,3,16,1
0.096,48,500,0.3404255319148936,0.3404255319148936,0.07204335626585248,8,47,4,16,1
0.174,87,500,0.425531914893617,0.425531914893617,0.15012921091124645,8,47,5,16,1
0.252,126,500,0.5106382978723404,0.5106382978723404,0.2304387765572803,8,47,6,16,1
0.364,182,500,0.5957446808510638,0.5957446808510638,0.3039917539047735,8,47,7,16,1
0.35,175,500,0.6808510638297872,0.6808510638297872,0.3684279172960062,8,47,8,16,1
0.49,245,500,0.7659574468085106,0.7659574468085106,0.42400852481057216,8,47,9,16,1
0.41,205,500,0.851063829787234,0.851063829787234,0.47180973643622726,8,47,10,16,1
0.48,240,500,0.9361702127659575,0.9361702127659575,0.5130312105613936,8,47,11,16,1
0.456,228,500,1.0212765957446808,1.0212765957446808,0.548763063642586,8,47,12,16,1
0.506,253,500,1.1063829787234043,1.1063829787234043,0.579927604008131,8,47,13,16,1
0.488,244,500,1.1914893617021276,1.1914893617021276,0.6072831471930201,8,47,14,16,1
0.532,266,500,1.2765957446808511,1.2765957446808511,0.6314466012396722,8,47,15,16,1
0.494,247,500,1.3617021276595744,1.3617021276595744,0.6529188333253192,8,47,16,16,1
0.0,0,500,0.07547169811320754,0.07547169811320754,4.900645264488835e-16,8,53,1,16,1
0.0,0,500,0.1509433962264151,0.1509433962264151,4.971402081802192e-05,8,53,2,16,1
0.026,13,500,0.22641509433962265,0.22641509433962265,0.00683774356850919,8,53,3,16,1
0.07,35,500,0.3018867924528302,0.3018867924528302,0.042510905933127674,8,53,4,16,1
0.148,74,500,0.37735849056603776,0.37735849056603776,0.10463495540179331,8,53,5,16,1
0.184,92,500,0.4528301886792453,0.4528301886792453,0.17627218176381487,8,53,6,16,1
0.29,145,500,0.5283018867924528,0.5283018867924528,0.24640175674236808,8,53,7,16,1
0.33,165,500,0.6037735849056604,0.6037735849056604,0.31046736528701435,8,53,8,16,1
0.372,186,500,0.6792452830188679,0.6792452830188679,0.36729686094379743,8,53,9,16,1
0.438,219,500,0.7547169811320755,0.7547169811320755,0.41713974375013363,8,53,10,16,1
0.448,224,500,0.8301886792452831,0.8301886792452831,0.46073905621706224,8,53,11,16,1
0.508,254,500,0.9056603773584906,0.9056603773584906,0.4989382841607648,8,53,12,16,1
0.458,229,500,0.9811320754716981,0.9811320754716981,0.5325298490531629,8,53,13,16,1
0.474,237,500,1.0566037735849056,1.0566037735849056,0.5622068077690623,8,53,14,16,1
0.504,252,500,1.1320754716981132,1.1320754716981132,0.5885565317823565,8,53,15,16,1
0.49,245,500,1.2075471698113207,1.2075471698113207,0.6120699749298815,8,53,16,16,1
0.488,244,500,1.2830188679245282,1.2830188679245282,0.6331554309316891,8,53,17,16,1
0.484,242,500,1.3584905660377358,1.3584905660377358,0.6521523310323358,8,53,18,16,1
0.0,0,500,0.06779661016949153,0.06779661016949153,1.6780390201373054e-19,8,59,1,16,1
0.0,0,500,0.13559322033898305,0.13559322033898305,6.2945325169457795e-06,8,59,2,16,1
0.002,1,500,0.2033898305084746,0.2033898305084746,0.002605336926011766,8,59,3,16,1
0.038,19,500,0.2711864406779661,0.2711864406779661,0.023937969848658477,8,59,4,16,1
0.098,49,500,0.3389830508474576,0.3389830508474576,0.07084047931603273,8,59,5,16,1
0.17,85,500,0.4067796610169492,0.4067796610169492,0.13221726828141026,8,59,6,16,1
0.25,125,500,0.4745762711864407,0.4745762711864407,0.19692701095656207,8,59,7,16,1
0.274,137,500,0.5423728813559322,0.5423728813559322,0.2588718157525367,8,59,8,16,1
0.338,169,500,0.6101694915254238,0.6101694915254238,0.3155664490289267,8,59,9,16,1
0.356,178,500,0.6779661016949152,0.6779661016949152,0.366393575413826,8,59,10,16,1
0.452,226,500,0.7457627118644068,0.7457627118644068,0.4115689394842632,8,59,11,16,1
0.434,217,500,0.8135593220338984,0.8135593220338984,0.4516255304307273,8,59,12,16,1
0.462,231,500,0.8813559322033898,0.8813559322033898,0.48717614378139673,8,59,13,16,1
0.49,245,500,0.9491525423728814,0.9491525423728814,0.5188117753029896,8,59,14,16,1
0.498,249,500,1.0169491525423728,1.0169491525423728,0.5470634932052711,8,59,15,16,1
0.454,227,500,1.0847457627118644,1.0847457627118644,0.5723929183602695,8,59,16,16,1
0.526,263,500,1.152542372881356,1.152542372881356,0.5951948708916468,8,59,17,16,1
0.474,237,500,1.2203389830508475,1.2203389830508475,0.615804561739885,8,59,18,16,1
0.534,267,500,1.2881355932203389,1.2881355932203389,0.6345058917085107,8,59,19,16,1
0.0,0,500,0.06557377049180328,0.06557377049180328,9.754288251631831e-21,8,61,1,16,1
0.002,1,500,0.13114754098360656,0.13114754098360656,3.0216919160044e-06,8,61,2,16,1
0.004,2,500,0.19672131147540983,0.19672131147540983,0.001852630370053175,8,61,3,16,1
0.042,21,500,0.26229508196721313,0.26229508196721313,0.01956067127944179,8,61,4,16,1
0.084,42,500,0.32786885245901637,0.32786885245901637,0.06179888800539396,8,61,5,16,1
0.184,92,500,0.39344262295081966,0.39344262295081966,0.11960192964156054,8,61,6,16,1
0.228,114,500,0.45901639344262296,0.45901639344262296,0.18217203874605437,8,61,7,16,1
0.282,141,500,0.5245901639344263,0.5245901639344263,0.24307512744187876,8,61,8,16,1
0.336,168,500,0.5901639344262295,0.5901639344262295,0.29944184644407446,8,61,9,16,1
0.418,209,500,0.6557377049180327,0.6557377049180327,0.3503720056895584,8,61,10,16,1
